,endo_rest_SA,Wulst_SA,endo_SA,FM_SA,brain_rest_vol,hyperpallium_vol,brain_vol,FM_w
Agelaius_phoeniceus,716.488,115.495,831.983,11.08730879,1508.79789,106.0621103,1614.86,4.08
Amazilia_tzacatl,187.6598,27.7021,215.3619,3.152980927,170.8750704,11.31492964,182.19,2.17
Bonasa_umbellus,1106.851,97.802,1204.653,19.72417532,2964.119761,171.8802392,3136,5.76
Fulica_americana,1023.756,94.508,1118.264,26.7008672,2491.460635,227.5393646,2719,6.06
Junco_hyemalis,380.0166,53.8244,433.841,5.921430913,818.0116927,61.03830729,879.05,2.98
Scolopax_rusticola,1156.957,75.574,1232.531,31.18973186,2463.262655,130.3673454,2593.63,5.84
Anas_platyrhynchos,1887.25,211.114,2098.364,50.24726122,5165.77,572.23,5738,7.32
Nyctidromus_albicollis,478.957,46.2976,525.2546,8.058185156,843.97,66.03,910,3.6
Steatornis_caripensis,1141.006,214.832,1355.838,23.66208317,3150.47,749.53,3900,5.15
Ardea_cinerea,2220.377,233.329,2453.706,30.7483381,7925.59,520.41,8446,6.75
Bubulcus_ibis,1175.443,147.655,1323.098,17.9095914,3804.3,220.7,4025,5.09
Phalacrocorax_auritus,2628.87,534.31,3163.18,39.28,5941.8,1381.2,7323,8.9
Columba_livia,896.26,57.023,953.283,19.7328147,1905.57,187.43,2093,5.38
Colinus_virginianus,602.012,50.775,652.787,11.99695695,1021.82,69.18,1091,4.7
Meleagris_gallopavo,2433.144,238.072,2671.216,53.864491,7520.96,469.04,7990,7.68
Passer_domesticus,492.19,65.412,557.602,7.500081222,871.91,117.09,989,3.59
Melopsittacus_undulatus,589.251,88.134,677.385,8.367317874,1135.65,84.35,1220,3.86
Psittacus_erithacus,2646.189,424.81,3070.999,26.05888274,5736.86,668.55,6405.41,7.12
Spheniscus_magellanicus,3330.484,546.88,3877.364,77.91369692,14394.45,2362.55,16757,10.83
Bubo_virginianus,2755.188,1145.29,3900.478,44.1569697,14581.671,2617.419,17199.09,8.48
Tyto_alba,1633.015,616.3,2249.315,23.52267499,4543.59,1605.41,6149,5.99
Apteryx_australis,2454.99,174.36,2629.35,44.99153379,5005,294,5299,8.55
Dromaius_novaehollandiae,4948.035,913.26,5861.295,59.41615646,20904,926,21830,10.02
Rhea_americana,4164.12,594.57,4758.69,78.0882124,16932.87,2295.13,19228,9.7
Crypturellus_tataupa,634.165,34.9846,669.1496,7.510369937,1516.8301,66.1699,1583,3.75
Dinornis_robustus,6915.68,1565.62,8481.3,183.0551061,44734.6325,4300.067503,49034.7,14.1
Llallawavis_scagliai,6836.55,1640.55,8477.1,162.0223004,37254.67858,5215.321424,42470,14.12
Miocene_galliform,1271.675,127.875,1399.55,25.7522633,2974.675464,227.0045361,3201.68,5.52
Paraptenodytes_antarcticus,4985.45,876.25,5861.7,110.7851233,25543.73161,2902.068391,28445.8,11.6
Psilopterus_lemoinei,4287.7,856.3,5144,89.74273574,18612.52786,2172.372137,20784.9,9.2
